Base de dados,Número,Autor(es) e Ano,Título do Artigo
CAPES,13,"Osvaldas Balandis, Laura Laurinskaitė, (2005)",SOFTWARE PROCESS IMPROVEMENT IN LITHUANIA – UAB SINTAGMA CASE STUDY
CAPES,14,"Eliezer Dutra, Gleison Santos, (2015)",Software Process Improvement Implementation Risks: A Qualitative Study Based on Software Development Maturity Models Implementations in Brazil
CAPES,15,"Ismail Keshta, Mahmood Niazi, Mohammad Alshayeb, (2018)",Towards Implementation of Process and Product Quality Assurance Process Area for Saudi Arabian Small and Medium Sized Software Development Organizations
CAPES,16,"Steffane Ramires, Célio Santana, Fabíola de Souza Queiroz, Amanda Nunes, (2015)",Investigating the Relationship between Nokia Test Scores and Quality and Productivity Indicators on Scrum-CMMI Environments
CAPES,17,"Tatek Engdashet Kabitimer, Dida Midekso, Ricardo J. Machado, (2018)",Product Focused Software Process Improvement through Integrated Framework of Agile and CMMI: A Case in Small Settings
CAPES,18,"Justin J. Y. Lin, Yung-Sung Lin, (2008)",Research and Development of a CMMI-Compliant Requirement Management System for Software Engineering
CAPES,19,"Kautsarina Kautsarina, (2011)",THE ASSESSMENT OF THREE PROCESS AREAS IN MATURITY LEVEL 2 CMMI-DEV 1.2 FRAMEWORK ON SMALL INDEPENDENT SOFTWARE VENDOR IN INDONESIA (CASE STUDY: INOVASIA)
CAPES,20,"Tatek Engdashet, Dida Midekso, Ricardo J. Machado, (2017)",Implementing product focused Process improvement through The Post Iteration and Process Improvement Workshop
CAPES,21,"Virpi Taipale, Jorma Taramaa, (2005)",Process Improvement Solution for Co-design in Radio Base Station DSP SW
CAPES,22,"Fabio Falcini, Giuseppe Lami, (2015)",An Empirical Study on Software Process Improvement in Automotive
CAPES,23,"Rachel Harrison, (2010)",In this issue
CAPES,24,"Larissa de Paula Serrão Garcia, Sandro Ronaldo Bezerra Oliveira, (2024)",Uma extração de dados a partir da análise de estudos sobre implementação da área de capacidade ensuring quality do CMMI 2.0: uma revisão sistemática da literatura
CAPES,25,"Anmol Bilal, Christoph Mayr-Dorn, Alexander Egyed, (2024)",Ranking guidance actions to support engineers in fulfilling process constraints
CAPES,26,"Patrícia Pompermayer Sesso, Umberto Antônio Sesso Filho, Emerson Guzzi Zuan Esteves, Carlos Alberto Gonçalves, Ricardo Luís Lopes, (2024)","Economic, Social And Environmental Indicators Of Medicinal, Aromatic And Condimental Crops In Brazil"
CAPES,27,"Muhammad Ilyas, Siffat Ullah Khan, Habib Ullah Khan, Nasir Rashid, (2023)",Software integration model: An assessment tool for global software development vendors
CAPES,28,"Arif Ali Khan, Jacky Keung, (2016)",Systematic review of success factors and barriers for software process improvement in global software development
CAPES,29,"Mahmood Niazi, David Wilson, Didar Zowghi, (2007)",Organisational Readiness and Software Process Improvement
CAPES,30,"Minna Pikkarainen, (2009)",Towards a Better Understanding of CMMI and Agile Integration - Multiple Case Study of Four Companies
CAPES,31,"Mahmood Niazi, Muhammad Ali Babar, (2009)",Identifying high perceived value practices of CMMI level 2: An empirical study
CAPES,32,"M Sarshar, Richard Haigh, Dilanthi Amaratunga, (2004)",Improving project processes: best practice case study
CAPES,33,"Fernando S. Silva, Felipe Santana F. Soares, Angela L. Peres, Ivanildo M. de Azevedo, Ana Paula L.F. Vasconcelos, Fernando Kamei, Sílvio R. de L. Meira, (2014)",Using CMMI together with agile software development: A systematic review
CAPES,34,"Khaled El Emam, Andreas Birk, (2000)",Validating the ISO/IEC 15504 measure of software requirements analysis process capability
CAPES,35,"Sune Dueholm Müller, Peter Axel Nielsen, (2013)",Competing values in software process improvement: a study of cultural profiles
CAPES,36,"Antoni-Lluís Mesquida, Antònia Mas, Esperança Amengual, Jose A. Calvo-Manzano, (2011)",IT Service Management Process Improvement based on ISO/IEC 15504: A systematic review
CAPES,37,"Hassan Al-Matouq, Sajjad Mahmood, Mohammad Alshayeb, Mahmood Niazi, (2020)",A Maturity Model for Secure Software Design: A Multivocal Study
CAPES,38,"Mohammad Issam Khalil Abu-Baker, Mohammad Khair Saleem Abu-Zaid, Hamad Alsawalqah, Yazan Al-Shamayleh, Bashar Al-Shboul, (2019)",The Impact of the Implementation of Capability Maturity Model Integration on User Satisfaction: Case Study on Software Companies in Jordan
CAPES,39,"Nasir Rashid, Siffat Ullah Khan, Habib Ullah Khan, Muhammad Ilyas, (2021)",Green-Agile Maturity Model: An Evaluation Framework for Global Software Development Vendors
CAPES,40,"García Ivan, Carla Pacheco, José A. Calvo-Manzano, (2019)",Introducing gamification to increase staff involvement and motivation when conducting SPI initiatives in small-sized software enterprises
