Base de dados,Número,Autor(es) e Ano,Título do Artigo
SCOPUS,42,"Sarshar M., Haigh R., Amaratunga D. (2004)",Improving project processes: Best practice case study
SCOPUS,43,"Chouseinoglou O., Iren D., Karagöz N.A., Bilgen S. (2013)",AiOLoS: A model for assessing organizational learning in software development organizations
SCOPUS,44,"Farooq U., Ahmed M., Hussain S., Hussain F., Naseem A., Aslam K. (2021)",Blockchain-Based Software Process Improvement (BBSPI): An approach for SMEs to perform process improvement
SCOPUS,45,"Moselhy N., Adel A., Seddik A. (2023)",Automotive SPICE Draft PAM V4.0 in Action: BETA Assessment
SCOPUS,46,N/A (2024),"31st European Conference on Systems, Software and Services Process Improvement, EuroSPI 2024"
SCOPUS,47,"Selleri Silva F., Soares F.S.F., Peres A.L., Azevedo I.M.D., Vasconcelos A.P.L.F., Kamei F.K., Meira S.R.D.L. (2015)",Using CMMI together with agile software development: A systematic review
SCOPUS,48,"Jamalludin K.-N., Aris H. (2017)",Software quality assurance audit implementation in industry: A survey of five multinational companies in Malaysia
SCOPUS,49,"Keshta I., Niazi M., Alshayeb M. (2017)",Towards Implementation of Requirements Management Specific Practices (SP1.3 and SP1.4) for Saudi Arabian Small and Medium Sized Software Development Organizations
SCOPUS,50,"Lami G., Biscoglio I., Falcini F. (2015)",Investigation on Common Software Process Weaknesses in Automotive
SCOPUS,51,"Pikkarainen M., Mäntyniemi A. (2006)",An approach for using CMMI in agile software development assessments: Experiences from three case studies
SCOPUS,52,"Zhafrani M.H., Budiardjo E.K., Mahatma K. (2024)",Measuring E-Governance System (SPBE) Development Maturity Level with CMMI Model V2.0: A Case Study of XYZ City Government
SCOPUS,53,"Rajab R., Alnoukari M. (2025)",DevOps Integration With Capability Model Maturity Integration: A Systematic Mapping Review
SCOPUS,54,"Tadevosyan L., Avagyan A., Sargsyan G., Balayan R., Tsereteli I., Harutyunyan Z., Vardanian I., Martirosyan G. (2024)",Comparative analysis of bioactive components across basil varieties
SCOPUS,55,"Mujagic M., Stepanov O., MacCleery B. (2012)","An improved co-simulation approach to rapidly prototype, verify, and implement dynamic FPGA-based embedded control systems"
SCOPUS,56,"Sarshar M., Haigh R., Finnemore M., Aouad G., Barrett P., Baldry D., Sexton M. (2000)",SPICE: A business process diagnostics tool for construction projects
SCOPUS,57,"Arauz G., Morales M., Oktaba H., Ramírez E. (2016)",Integrating Agile Methods into a Level 5 CMMI-DEV Organization: A Case Study [Integración de Métodos Ágiles a una Empresa de Nivel 5 CMMI-DEV: un Caso de Estudio]
SCOPUS,58,"Ogunyemi A., Lamas D., Stage J., Lárusdóttir M. (2017)",Assessment model for HCI practice maturity in small and medium sized software development companies
SCOPUS,59,"Nazar S., Abbasi E. (2008)",CMMI and OPM3: Are they compatible?
SCOPUS,60,"Mesquida A.L., Mas A. (2015)",Implementing information security best practices on software lifecycle processes: The ISO/IEC 15504 Security Extension
SCOPUS,61,"Mesquida A.L., Mas A., Amengual E., Calvo-Manzano J.A. (2012)",IT service management process improvement based on ISO/IEC 15504: A systematic review
SCOPUS,62,Keshta I. (2022),A model for defining project lifecycle phases: Implementation of CMMI level 2 specific practice
SCOPUS,63,"Liu Y., Tyszberowicz S., Liu Z., Liu B. (2022)",iTrustEval: A framework for software trustworthiness evaluation with an intelligent AHP-based method
SCOPUS,64,Murugavel R. (2015),Quality management in information system development units - An empirical study
SCOPUS,65,"Li C.H., Yuen N.H.Y., Tang F. (2024)",Development of Laboratory Information Management System 4.0 (LIMS 4.0) in the TIC Industry through Industry 5.0 and CMMI assessment model
SCOPUS,66,N/A (2013),"13th International Conference on Software Process Improvement and Capability dEtermination, SPICE 2013"
SCOPUS,67,"Hoda R., Salleh N., Grundy J., Tee H.M. (2017)",Systematic literature reviews in agile software development: A tertiary study
SCOPUS,68,N/A (2013),"13th International Conference on Software Process Improvement and Capability dEtermination, SPICE 2013"
SCOPUS,69,N/A (2016),"16th International Conference on Software Process Improvement and Capability Determination, SPICE 2016"
SCOPUS,70,"Fuentes B.A., Jenkins M. (2022)",Use of CMMI-DEV 2.0 for continuous process improvement in an agile organization: a case study [Uso del CMMI-DEV 2.0 para la mejora continua de procesos en una organización ágil: un caso de estudio]
SCOPUS,71,"Özcan-Top Ö., Demirors O. (2019)",Application of a software agility assessment model – AgilityMod in the field
SCOPUS,72,N/A (2015),"15th International Conference on Software Process Improvement and Capability Determination, SPICE 2015"
SCOPUS,73,N/A (2015),"22nd European Conference on Systems, Software and Services Process Improvement, EuroSPI 2015"
SCOPUS,74,"Pardo C., Pino F.J., García F., Piattini M., Baldasarre T. (2010)",A systematic review on the harmonization of reference models
SCOPUS,75,"Yan B., Yao H.-P., Nakamura M., Li Z.-F., Wang D. (2020)",A case study for software quality evaluation based on SCT model with BP neural network
SCOPUS,76,"Monteiro P., Machado R.J., Kazman R., Simões C., Ribeiro P. (2014)",RUP alignment and coverage analysis of CMMI ML2 process areas for the context of software projects execution
SCOPUS,77,"Lin J.J.Y., Lin Y.-S. (2006)",System development and empirical research on CMMI requirement management process area
SCOPUS,78,"Astridita A., Raharjo T., Fitriani A.N. (2024)",Perceived Benefits and Challenges of Implementing CMMI on Agile Project Management: A Systematic Literature Review
SCOPUS,79,"Condor S., García C., Dávila A. (2016)","Adoption of ISO/IEC 29119-2 software testing practices: An exploratory analysis in organizations in Lima, Perú [Adopción de prácticas de pruebas de software de la ISO/IEC 29119-2. Un análisis exploratorio en organizaciones de Lima, Perú.]"
SCOPUS,80,N/A (2008),"15th European Conference on Software Process Improvement, EuroSPI 2008"
SCOPUS,81,"Lal R., Samrit A. (2006)",Leveraging information technology for organizational resilience in design of complex products: A case study
SCOPUS,82,"García Y.-M., Muñoz M., Mejía J., Gasca G.-P., Mireles A. (2018)",Application of a risk management tool focused on helping to small and medium enterprises implementing the best practices in software development projects
SCOPUS,83,"Falcini F., Lami G. (2015)",An empirical study on software process improvement in automotive
SCOPUS,84,"Müller S.D., Nielsen P.A. (2013)",Competing values in software process improvement: A study of cultural profiles
SCOPUS,85,"Sukhoo A., Barnard A., Eloff M.M., Van Der Poll J.A. (2007)",An Evolutionary Software Project Management Maturity Model for Mauritius
SCOPUS,86,"Alshazly A.A., ElNainay M.Y., El-Zoghabi A.A., Abougabal M.S. (2021)",A cloud software life cycle process (CSLCP) model
SCOPUS,87,"Bilal A., Mayr-Dorn C., Egyed A. (2025)",Ranking guidance actions to support engineers in fulfilling process constraints
SCOPUS,88,Yaseen M. (2024),Requirement elicitation model for global software development vendors
SCOPUS,89,"Bhat S., Kumar D., Paramesh V., Kumar P., Ravishankar N., Kumar S., Kashyap P., Arunachalam V. (2023)","Enhancing farm profitability and sustainability through integrated farming systems: A case study of coastal Karnataka, India"
SCOPUS,90,"Zarour M., Alenezi M. (2021)",Software process improvement initiative in medium size IT organization: A case study
SCOPUS,91,"Ilyas M., Khan S.U., Khan H.U., Rashid N. (2024)",Software integration model: An assessment tool for global software development vendors
SCOPUS,92,"Khan A.A., Keung J.W., Fazal-E-Amin, Abdullah-Al-Wadud M. (2017)",Spiimm: Toward a model for software process improvement implementation and management in global software development
SCOPUS,93,"Chevers D.A., Grant G. (2016)",Software process improvement adoption and benefits in Canadian and English-speaking Caribbean software development firms
SCOPUS,94,"Hickey C.J., Loveall J.B., Orr J.K., Klausman A.L. (2011)",The legacy of space shuttle flight software
SCOPUS,95,"Rashid N., Khan S.U., Khan H.U., Ilyas M. (2021)",Green-Agile Maturity Model: An Evaluation Framework for Global Software Development Vendors
SCOPUS,96,"Khan R.A., Idris M.Y., Khan S.U., Ilyas M., Ali S., Ud Din A., Murtaza G., Khan A.W., Jan S.U. (2019)",An Evaluation Framework for Communication and Coordination Processes in Offshore Software Development Outsourcing Relationship: Using Fuzzy Methods
SCOPUS,97,Niazi M. (2015),A comparative study of software process improvement implementation success factors
SCOPUS,98,"Pulkkinen M., Forsell M. (2007)",Managing a software development organization with a TQM approach for balance in a period of rapid growth
SCOPUS,99,N/A (2011),"Software Process Improvement and Capability Determination - 11th International Conference, SPICE 2011, Proceedings"
SCOPUS,100,"Keshta I., Niazi M., Alshayeb M. (2018)",Towards Implementation of Process and Product Quality Assurance Process Area for Saudi Arabian Small and Medium Sized Software Development Organizations
SCOPUS,101,"Fedotova O., Teixeira L., Alvelos H. (2010)",Knowledge management in software development industry
SCOPUS,102,"Tonini A.C., de Carvalho M.M., de Mesquita Spinola M. (2008)",Contribution of quality and maturity models to software process improvement [Contribuição dos modelos de qualidade e maturidade na melhoria dos processos de software]
SCOPUS,103,Cater-Steel A.P. (2001),Process improvement in four small software companies
SCOPUS,104,"Ponce L., Huamán S., Castillo-Sequera J.L., Wong L. (2024)",Maturity Model for PCI SLC Compliance for Peruvian Software Development Companies based on CMMI
SCOPUS,105,"Niazi M., Wilson D., Zowghi D., Wong B. (2004)",A model for the implementation of software process improvement: An empirical study
SCOPUS,106,N/A (2016),"Proceedings - International Conference on Software and System Process, ICSSP 2016"
SCOPUS,107,"Cater-Steel A., Tan W.-G., Toleman M. (2006)",Challenge of adopting multiple process improvement frameworks
SCOPUS,108,N/A (2009),"Proceedings of the 2009 31st International Conference on Software Engineering and ICSE Workshops - 2009 ICSE Workshop on Software Quality, WoSQ 2009"
SCOPUS,109,"Dutra E., Santos G. (2015)",Software process improvement implementation risks: A qualitative study based on software development maturity models implementations in Brazil
SCOPUS,110,"Gómez J., Núñez A. (2008)",Agile practices in project management
SCOPUS,111,N/A (2015),"Proceedings - 2015 Agile Conference, Agile 2015"
SCOPUS,112,Shenvi A.A. (2009),Defect prevention with orthogonal defect classification
SCOPUS,113,"Jasim S.A., Al-Dhalimy A.M.B., Zokaei M., Salimi S., Alnajar M.J., Kumar A., Alwaily E.R., Zwamel A.H., Hussein S.A., Gholami-Ahangaran M. (2024)","The Beneficial Application of Turmeric (Curcuma longa L.) on Health and Egg Production, in Layers: A Review"
SCOPUS,114,"Bertoa M.F., Vallecillo A., García F. (2006)",An ontology for software measurement
SCOPUS,115,"Lee M.-G., Yu P., Jefferson T.L. (2005)",Eclectic software development methodology and successful software development
SCOPUS,116,"Tuffley A., Grove B., McNair G. (2004)",SPICE for small organisations
SCOPUS,117,"Niazi M., Wilson D., Zowghi D. (2007)",Organisational readiness and software process improvement
SCOPUS,118,"Lin J.J.Y., Lin Y.-S. (2007)",Collaborative requirement management system developed for CMMI-coherent software engineering
SCOPUS,119,"Malbouisson C.A.L., Neto M.G.M. (2008)",Costs associated with the implementation of a program measurement in a development organization mid-sized software [Custos associados à execução de um programa de medição em uma organização de desenvolvimento de software de médio porte]
SCOPUS,120,"Dos Lima A.F., Costa T.S.A., Oliveira S.R.B., Melo P.B., Rodrigues J.P.P. (2017)",Requirements development process of CMMI-DEV for evolutionary maintenance projects: A case study of implementation
SCOPUS,121,"Kenett R.S., Baker E. (2010)",Process improvement and CMMI® for systems and software
SCOPUS,122,"Wang X., Liu L., Wei Y. (2013)",Establishing a project management model based on cmmi: Experiences from victory soft case study
SCOPUS,123,"Lin J.J.Y., Lin Y.-S. (2008)",Research and development of a CMMI-compliant requirement management system for software engineering
SCOPUS,124,"de Oliveira S.B., Valle R., Mahler C.F. (2010)","A comparative analysis of CMMI software project management by Brazilian, Indian and Chinese companies"
SCOPUS,125,"Orgun P., Gungor D., Kuru Y.Y., Metin O.O., Yilmaz M. (2018)",Software Development Overall Efficiency Improvement in a CMMI Level 5 Organization Within the scope of a Case Study
SCOPUS,126,Pikkarainen M. (2009),Towards a better understanding of cmmi and agile integration- Multiple case study of four companies
SCOPUS,127,"Santana C., Gusmão C., Caetano D., Vasconcelos A. (2011)",The confidence of agile assessment methods in the context of software process improvement
SCOPUS,128,Shenvi A.A. (2008),Design for six sigma: Software product quality
SCOPUS,129,N/A (2017),"XII Jornadas Iberoamericanas de Ingenieria de Software e Ingenieria del Conocimiento 2017, JIISIC 2017 - Held Jointly with the Ecuadorian Conference on Software Engineering, CEIS 2017 and the Conference on Software Engineering Applied to Control and Automation Systems, ISASCA 2017"
SCOPUS,130,"Taipale V., Taramaa J. (2005)",Process improvement solution for co-design in radio base station DSP SW
SCOPUS,131,"Silva F.S., Soares F.S.F., Peres A.L., De Azevedo I.M., Pinto P.P., De Lemos Meira S.R. (2014)",A reference model for agile quality assurance: Combining agile methodologies and maturity models
SCOPUS,132,"Shinde M., Shiva S.G. (2004)",CMMI framework in small business environment - A case study
SCOPUS,133,"Kivihalme M., Valsta A. (2010)",Improving software development processes in small companies: A case study
